State,code,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,Total % Positive,% Positive Last 30 Days,% Positive Last 7 Days,# Tests per 100K,Total # Tests,# Tests per 100K Last 7 Days,Total # Tests Last 7 Days,# Tests per 100K Last 30 Days,Total # Tests Last 30 Days,New Cases,New Deaths
Alaska,AK,66120,0,0,533,9038,343,null,null,2,46,72.9,0.3,0-5%,0-5%,0-5%,309527.78,2264335,5745.37,42030,25860.47,189181,0,0
Alabama,AL,531091,410480,120611,1448,10832,10977,8647,2330,4,223,29.5,0.1,11-20%,6-10%,6-10%,90418.49,4433386,798.32,39143,3460.89,169694,24,0
Arkansas,AR,337510,0,0,1405,11184,5761,null,null,18,190,46.6,0.6,6-10%,0-5%,0-5%,90259.94,2723868,725.43,21892,3434.82,103656,95,1
Arizona,AZ,868830,804805,64025,4903,11937,17409,15472,1937,65,239,67.4,0.9,11-20%,0-5%,0-5%,102210.88,7439641,1453.44,105792,6389.26,465056,448,2
California,CA,3654545,0,0,12065,9249,61228,null,null,480,154,30.5,1.2,6-10%,0-5%,0-5%,131438.33,51934205,2620.44,1035396,12339.28,4875525,1853,61
Colorado,CO,523309,488791,34518,9544,9087,6357,5596,761,53,110,165.7,0.9,6-10%,6-10%,0-5%,127513.76,7343181,2801.15,161311,12021.68,692297,927,2
Connecticut,CT,342718,314169,28549,2613,9613,8137,6697,1440,40,228,73.3,1.1,0-5%,0-5%,0-5%,247091.83,8809533,5296.46,188834,23975.94,854811,0,0
District of Columbia,DC,48180,0,0,380,6827,1110,null,null,4,157,53.8,0.6,0-5%,0-5%,0-5%,260730.51,1840103,5166.99,36466,23680.09,167122,16,0
Delaware,DE,106148,98908,7240,1239,10901,1636,1495,141,10,168,127.2,1,6-10%,6-10%,0-5%,204217.55,1988597,3759.33,36607,16883.25,164403,200,0
Florida,FL,2227303,0,0,26508,10370,35731,null,null,463,166,123.4,2.2,6-10%,6-10%,6-10%,130722.23,28076176,2366.79,508334,10542.34,2264255,3155,31
Georgia,GA,1109958,886374,223584,7169,10454,20367,17701,2666,156,191,67.5,1.5,6-10%,0-5%,0-5%,75526.16,8018932,987.08,104802,4177.23,443514,628,-1
Hawaii,HI,32111,0,0,589,2268,485,null,null,5,34,41.6,0.4,0-5%,0-5%,0-5%,121550.25,1720996,2873.85,40690,11217.47,158825,73,1
Iowa,IA,367715,0,0,2196,11655,5985,null,null,26,189,69.6,0.8,11-20%,6-10%,0-5%,107897.16,3404231,1394.45,43996,6156.16,194231,154,1
Idaho,ID,188788,151224,37564,889,10564,2061,1797,264,16,115,49.8,0.9,11-20%,0-5%,0-5%,85228.18,1523083,1220.38,21809,5555.14,99274,0,0
Illinois,IL,1354967,1354967,0,15239,10693,24577,22223,2354,219,193,120.3,1.7,6-10%,0-5%,0-5%,150752.59,19103098,3405.03,431479,14597.58,1849779,1741,31
Indiana,IN,729716,0,0,7070,10839,13418,13003,415,69,199,105,1,6-10%,0-5%,0-5%,122794.04,8266764,1848.22,124426,7266.03,489165,905,13
Kansas,KS,310582,250922,59660,1110,10661,5016,null,null,34,172,38.1,1.2,6-10%,0-5%,0-5%,101547.55,2958399,1154.9,33646,5251.68,152998,0,0
Kentucky,KY,448952,338713,110239,3813,10049,6586,5944,642,63,147,85.4,1.4,11-20%,0-5%,0-5%,92732.06,4142965,1525.98,68176,5746.53,256736,195,8
Louisiana,LA,461773,0,0,2686,9933,10433,9491,942,51,224,57.8,1.1,6-10%,0-5%,0-5%,137940.36,6412563,1420.3,66027,6415.84,298259,0,0
Massachusetts,MA,697398,653190,44208,6226,10118,17682,17330,352,61,256,90.3,0.9,0-5%,0-5%,0-5%,309391.38,21324810,7199.42,496220,31842.02,2194712,858,6
